station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
11497550	07-01-2009	188   	Published			02-06-2015 11:44
11497550	07-02-2009	190   	Published			02-06-2015 11:44
11497550	07-03-2009	186   	Published			02-06-2015 11:44
11497550	07-04-2009	179   	Published			02-06-2015 11:44
11497550	07-05-2009	174   	Published			02-06-2015 11:44
11497550	07-06-2009	168   	Published			02-06-2015 11:44
11497550	07-07-2009	162   	Published			02-06-2015 11:44
11497550	07-08-2009	162   	Published			02-06-2015 11:44
11497550	07-09-2009	161   	Published			02-06-2015 11:44
11497550	07-10-2009	163   	Published			02-06-2015 11:44
11497550	07-11-2009	164   	Published			02-06-2015 11:44
11497550	07-12-2009	169   	Published			02-06-2015 11:44
11497550	07-13-2009	163   	Published			02-06-2015 11:44
11497550	07-14-2009	160   	Published			02-06-2015 11:44
11497550	07-15-2009	155   	Published			02-06-2015 11:44
11497550	07-16-2009	153   	Published			02-06-2015 11:44
11497550	07-17-2009	151   	Published			02-06-2015 11:44
11497550	07-18-2009	151   	Published			02-06-2015 11:44
11497550	07-19-2009	153   	Published			02-06-2015 11:44
11497550	07-20-2009	154   	Published			02-06-2015 11:44
11497550	07-21-2009	149   	Published			02-06-2015 11:44
11497550	07-22-2009	147   	Published			02-06-2015 11:44
11497550	07-23-2009	149   	Published			02-06-2015 11:44
11497550	07-24-2009	152   	Published			02-06-2015 11:44
11497550	07-25-2009	151   	Published			02-06-2015 11:44
11497550	07-26-2009	149   	Published			02-06-2015 11:44
11497550	07-27-2009	151   	Published			02-06-2015 11:44
11497550	07-28-2009	151   	Published			02-06-2015 11:44
11497550	07-29-2009	152   	Published			02-06-2015 11:44
11497550	07-30-2009	151   	Published			02-06-2015 11:44
11497550	07-31-2009	151   	Published			02-06-2015 11:44
11497550	08-01-2009	151   	Published			02-06-2015 11:44
11497550	08-02-2009	157   	Published			02-06-2015 11:44
11497550	08-03-2009	150   	Published			02-06-2015 11:44
11497550	08-04-2009	148   	Published			02-06-2015 11:44
11497550	08-05-2009	145   	Published			02-06-2015 11:44
11497550	08-06-2009	147   	Published			02-06-2015 11:44
11497550	08-07-2009	173   	Published			02-06-2015 11:44
11497550	08-08-2009	179   	Published			02-06-2015 11:44
11497550	08-09-2009	173   	Published			02-06-2015 11:44
11497550	08-10-2009	169   	Published			02-06-2015 11:44
11497550	08-11-2009	165   	Published			02-06-2015 11:44
11497550	08-12-2009	155   	Published			02-06-2015 11:44
11497550	08-13-2009	158   	Published			02-06-2015 11:44
11497550	08-14-2009	159   	Published			02-06-2015 11:44
11497550	08-15-2009	156   	Published			02-06-2015 11:44
11497550	08-16-2009	154   	Published			02-06-2015 11:44
11497550	08-17-2009	153   	Published			02-06-2015 11:44
11497550	08-18-2009	151   	Published			02-06-2015 11:44
11497550	08-19-2009	157   	Published			02-06-2015 11:44
11497550	08-20-2009	158   	Published			02-06-2015 11:44
11497550	08-21-2009	152   	Published			02-06-2015 11:44
11497550	08-22-2009	148   	Published			02-06-2015 11:44
11497550	08-23-2009	145   	Published			02-06-2015 11:44
11497550	08-24-2009	147   	Published			02-06-2015 11:44
11497550	08-25-2009	148   	Published			02-06-2015 11:44
11497550	08-26-2009	147   	Published			02-06-2015 11:44
11497550	08-27-2009	146   	Published			02-06-2015 11:44
11497550	08-28-2009	146   	Published			02-06-2015 11:44
11497550	08-29-2009	147   	Published			02-06-2015 11:44
11497550	08-30-2009	153   	Published			02-06-2015 11:44
11497550	08-31-2009	160   	Published			02-06-2015 11:44
11497550	09-01-2009	151   	Published			02-06-2015 11:44
11497550	09-02-2009	148   	Published			02-06-2015 11:44
11497550	09-03-2009	142   	Published			02-06-2015 11:44
11497550	09-04-2009	140   	Published			02-06-2015 11:44
11497550	09-05-2009	141   	Published			02-06-2015 11:44
11497550	09-06-2009	142   	Published			02-06-2015 11:44
11497550	09-07-2009	143   	Published			02-06-2015 11:44
11497550	09-08-2009	143   	Published			02-06-2015 11:44
11497550	09-09-2009	143   	Published			02-06-2015 11:44
11497550	09-10-2009	143   	Published			02-06-2015 11:44
11497550	09-11-2009	145   	Published			02-06-2015 11:44
11497550	09-12-2009	143   	Published			02-06-2015 11:44
11497550	09-13-2009	142   	Published			02-06-2015 11:44
11497550	09-14-2009	142   	Published			02-06-2015 11:44
11497550	09-15-2009	142   	Published			02-06-2015 11:44
11497550	09-16-2009	145   	Published			02-06-2015 11:44
11497550	09-17-2009	147   	Published			02-06-2015 11:44
11497550	09-18-2009	149   	Published			02-06-2015 11:44
11497550	09-19-2009	146   	Published			02-06-2015 11:44
11497550	09-20-2009	147   	Published			02-06-2015 11:44
11497550	09-21-2009	147   	Published			02-06-2015 11:44
11497550	09-22-2009	144   	Published			02-06-2015 11:44
11497550	09-23-2009	149   	Published			02-06-2015 11:44
11497550	09-24-2009	149   	Published			02-06-2015 11:44
11497550	09-25-2009	162   	Published			02-06-2015 11:44
11497550	09-26-2009	150   	Published			02-06-2015 11:44
11497550	09-27-2009	153   	Published			02-06-2015 11:44
11497550	09-28-2009	155   	Published			02-06-2015 11:44
11497550	09-29-2009	159   	Published			02-06-2015 11:44
11497550	09-30-2009	157   	Published			02-06-2015 11:44
11497550	10-01-2009	155   	Published			02-06-2015 11:44
11497550	10-02-2009	164   	Published			02-06-2015 11:44
11497550	10-03-2009	167   	Published			02-06-2015 11:44
11497550	10-04-2009	169   	Published			02-06-2015 11:44
11497550	10-05-2009	177   	Published			02-06-2015 11:44
11497550	10-06-2009	174   	Published			02-06-2015 11:44
11497550	10-07-2009	174   	Published			02-06-2015 11:44
11497550	10-08-2009	174   	Published			02-06-2015 11:44
11497550	10-09-2009	173   	Published			02-06-2015 11:44
11497550	10-10-2009	170   	Published			02-06-2015 11:44
11497550	10-11-2009	170   	Published			02-06-2015 11:44
11497550	10-12-2009	177   	Published			02-06-2015 11:44
11497550	10-13-2009	180   	Published			02-06-2015 11:44
11497550	10-14-2009	189   	Published			02-06-2015 11:44
11497550	10-15-2009	198   	Published			02-06-2015 11:44
11497550	10-16-2009	193   	Published			02-06-2015 11:44
11497550	10-17-2009	190   	Published			02-06-2015 11:44
11497550	10-18-2009	185   	Published			02-06-2015 11:44
11497550	10-19-2009	184   	Published			02-06-2015 11:44
11497550	10-20-2009	184   	Published			02-06-2015 11:44
11497550	10-21-2009	183   	Published			02-06-2015 11:44
11497550	10-22-2009	181   	Published			02-06-2015 11:44
11497550	10-23-2009	183   	Published			02-06-2015 11:44
11497550	10-24-2009	182   	Published			02-06-2015 11:44
11497550	10-25-2009	181   	Published			02-06-2015 11:44
11497550	10-26-2009	183   	Published			02-06-2015 11:44
11497550	10-27-2009	186   	Published			02-06-2015 11:44
11497550	10-28-2009	183   	Published			02-06-2015 11:44
11497550	10-29-2009	181   	Published			02-06-2015 11:44
11497550	10-30-2009	182   	Published			02-06-2015 11:44
11497550	10-31-2009	182   	Published			02-06-2015 11:44
11497550	11-01-2009	180   	Published			02-06-2015 11:44
11497550	11-02-2009	180   	Published			02-06-2015 11:44
11497550	11-03-2009	179   	Published			02-06-2015 11:44
11497550	11-04-2009	178   	Published			02-06-2015 11:44
11497550	11-05-2009	179   	Published			02-06-2015 11:44
11497550	11-06-2009	178   	Published			02-06-2015 11:44
11497550	11-07-2009	181   	Published			02-06-2015 11:44
11497550	11-08-2009	179   	Published			02-06-2015 11:44
11497550	11-09-2009	179   	Published			02-06-2015 11:44
11497550	11-10-2009	179   	Published			02-06-2015 11:44
11497550	11-11-2009	181   	Published			02-06-2015 11:44
11497550	11-12-2009	185   	Published	Estimated		02-06-2015 11:44
11497550	11-13-2009	192   	Published	Estimated		02-06-2015 11:44
11497550	11-14-2009	178   	Published			02-06-2015 11:44
11497550	11-15-2009	180   	Published			02-06-2015 11:44
11497550	11-16-2009	182   	Published			02-06-2015 11:44
11497550	11-17-2009	185   	Published			02-06-2015 11:44
11497550	11-18-2009	183   	Published			02-06-2015 11:44
11497550	11-19-2009	181   	Published	Estimated		02-06-2015 11:44
11497550	11-20-2009	186   	Published			02-06-2015 11:44
11497550	11-21-2009	187   	Published			02-06-2015 11:44
11497550	11-22-2009	189   	Published			02-06-2015 11:44
11497550	11-23-2009	184   	Published			02-06-2015 11:44
11497550	11-24-2009	185   	Published			02-06-2015 11:44
11497550	11-25-2009	183   	Published			02-06-2015 11:44
11497550	11-26-2009	184   	Published			02-06-2015 11:44
11497550	11-27-2009	193   	Published			02-06-2015 11:44
11497550	11-28-2009	191   	Published			02-06-2015 11:44
11497550	11-29-2009	183   	Published			02-06-2015 11:44
11497550	11-30-2009	179   	Published			02-06-2015 11:44
11497550	12-01-2009	183   	Published			02-06-2015 11:44
11497550	12-02-2009	183   	Published			02-06-2015 11:44
11497550	12-03-2009	176   	Published			02-06-2015 11:44
11497550	12-04-2009	176   	Published			02-06-2015 11:44
11497550	12-05-2009	177   	Published			02-06-2015 11:44
11497550	12-06-2009	165   	Published	Estimated		02-06-2015 11:44
11497550	12-07-2009	159   	Published	Estimated		02-06-2015 11:44
11497550	12-08-2009	151   	Published	Estimated		02-06-2015 11:44
11497550	12-09-2009	150   	Published	Estimated		02-06-2015 11:44
11497550	12-10-2009	158   	Published	Estimated		02-06-2015 11:44
11497550	12-11-2009	162   	Published			02-06-2015 11:44
11497550	12-12-2009	183   	Published			02-06-2015 11:44
11497550	12-13-2009	192   	Published			02-06-2015 11:44
11497550	12-14-2009	189   	Published			02-06-2015 11:44
11497550	12-15-2009	192   	Published			02-06-2015 11:44
11497550	12-16-2009	201   	Published			02-06-2015 11:44
11497550	12-17-2009	204   	Published			02-06-2015 11:44
11497550	12-18-2009	196   	Published			02-06-2015 11:44
11497550	12-19-2009	195   	Published			02-06-2015 11:44
11497550	12-20-2009	194   	Published			02-06-2015 11:44
11497550	12-21-2009	197   	Published			02-06-2015 11:44
11497550	12-22-2009	193   	Published			02-06-2015 11:44
11497550	12-23-2009	183   	Published			02-06-2015 11:44
11497550	12-24-2009	178   	Published			02-06-2015 11:44
11497550	12-25-2009	186   	Published			02-06-2015 11:44
11497550	12-26-2009	185   	Published			02-06-2015 11:44
11497550	12-27-2009	188   	Published			02-06-2015 11:44
11497550	12-28-2009	186   	Published			02-06-2015 11:44
11497550	12-29-2009	185   	Published			02-06-2015 11:44
11497550	12-30-2009	184   	Published			02-06-2015 11:44
11497550	12-31-2009	183   	Published			02-06-2015 11:44
11497550	01-01-2010	191   	Published			02-06-2015 11:44
11497550	01-02-2010	213   	Published			02-06-2015 11:44
11497550	01-03-2010	203   	Published			02-06-2015 11:44
11497550	01-04-2010	193   	Published			02-06-2015 11:44
11497550	01-05-2010	188   	Published			02-06-2015 11:44
11497550	01-06-2010	195   	Published			02-06-2015 11:44
11497550	01-07-2010	205   	Published			02-06-2015 11:44
11497550	01-08-2010	204   	Published			02-06-2015 11:44
11497550	01-09-2010	204   	Published			02-06-2015 11:44
11497550	01-10-2010	202   	Published			02-06-2015 11:44
11497550	01-11-2010	199   	Published			02-06-2015 11:44
11497550	01-12-2010	202   	Published			02-06-2015 11:44
11497550	01-13-2010	216   	Published			02-06-2015 11:44
11497550	01-14-2010	229   	Published			02-06-2015 11:44
11497550	01-15-2010	214   	Published			02-06-2015 11:44
