STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MXPN,MNPN,EVAP,MDEV,DAEV,MDPR,MDSF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040709,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,261,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040710,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,261,67,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,256,61,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040712,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,289,72,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,294,67,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040714,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,300,67,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040715,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,294,56,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040716,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,300,50,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040717,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,322,72,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040718,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,333,133,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040719,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,283,139,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040720,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272,111,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040721,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,294,111,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040722,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,322,111,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040723,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328,150,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040724,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,344,167,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,339,161,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040726,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,350,100,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040727,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,322,100,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040728,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,333,106,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040729,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328,117,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,311,111,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,311,111,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040801,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,311,106,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,306,100,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,261,56,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040804,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,267,50,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040805,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,283,94,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,228,72,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040807,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,244,56,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040808,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,294,50,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040809,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,339,106,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040810,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328,100,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040811,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,333,133,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,344,144,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,344,128,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040814,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,350,128,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040815,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,306,133,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040816,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,317,128,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,300,106,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040818,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,300,94,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040819,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,322,133,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040820,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328,144,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,322,117,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040822,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,300,111,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040823,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36,-9999,-9999,178,33,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040824,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,183,28,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040825,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,211,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,-9999,194,44,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040827,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,189,44,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040828,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,261,56,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040829,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,289,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,306,100,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040831,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,322,89,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040901,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,306,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040902,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,267,39,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040903,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,183,28,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040904,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,200,22,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040905,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,44,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040906,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,39,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040907,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,294,61,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040908,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,278,61,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040909,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,50,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040910,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,283,44,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040911,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,289,39,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,256,67,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040913,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,189,11,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,161,11,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040915,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,194,-6,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,183,0,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040917,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,228,0,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040918,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,178,22,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040919,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,128,6,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040920,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61,-9999,-9999,117,6,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040921,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,-9999,128,-6,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040922,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,189,-17,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040923,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,244,0,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040924,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,256,28,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040925,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,278,28,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040926,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,261,17,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040927,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,256,28,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040928,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,278,56,-9999
