INDEX,DATE,GPS_N,GPS_W,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_mgl,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_perc,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_SPIKE,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_SPIKE,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_SPIKE,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_SPIKE,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,NO2_MGL,NO2_DUP,NO2_SPIKE,NO2_DIFF,NO2_RPD,NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_SPIKE,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_SPIKE,CL_DIFF,CL_RPD,CL_PASS_FAIL,SIO2+MGL,SIO2_DUP,SIO2_SPIKE,SIO2_DIFF,SIO2_RPD,SIO2_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,TURB_MGL,TURB_DUP,TURB_DIFF,TURB_RPD,TURB_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,Notes
31,5/31/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,151,151,5,31,2001,,25.2,,20.33,,,,0.101,101,147,151,4,10.24,,,,8.53,10.08,10.04,0.04,129.4,,,,0.056,,,,,,0.036,,,,,,0.005,,,,,,0.039,,,,,,,,,,,,0.434,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6/13/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,164,164,6,13,2001,1230,136,1.11,15.75,,,,0.152,152,147,150,3,9.64,7.74,7.79,0.05,8.72,10.06,10.05,0.01,112,100,100,0,0.056,0.057,,0.001,1.769911504,pass,0.035,0.034,,0.001,2.898550725,pass,0.053,0.042,,0.011,23.15789474,fail,0.005,0.005,,0,0,pass,,,,,,,0.384,0.33,,0.054,15.12605042,pass,1.4,1.2,,0.2,15.38461538,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
33,6/13/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,164,164,6,13,2001,930,170,,14.95,,,,0.125,125,147,150,3,9.16,7.74,7.79,0.05,8.77,10.06,10.05,0.01,105.4,100,100,0,0.058,,,,,,0.04,,,,,,0.036,,,,,,0.005,,,,,,,,,,,,0.247,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6/14/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,165,165,6,14,2001,1140,51.8,0.76,10.34,,,,0.055,55,147,149,2,10.69,8.85,7.66,1.19,7.72,10.05,9.99,0.06,108.4,,,,0.052,0.052,,0,0,pass,0.043,0.043,,0,0,pass,0.005,0.005,,0,0,pass,0.005,0.005,,0,0,pass,,,,,,,0.05,0.05,,0,0,pass,0.25,0.25,,0,0,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
35,6/14/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,165,165,6,14,2001,1020,21.2,,12.74,,,,0.09,90,147,149,2,9.95,8.85,7.66,1.19,7.89,10.05,9.99,0.06,108.3,,,,0.042,,,,,,0.029,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.05,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6/14/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,165,165,6,14,2001,1335,16.2,,19.53,,,,0.112,112,147,149,2,12.54,8.85,7.66,1.19,8.93,10.05,9.99,0.06,155.3,,,,0.055,,,,,,0.033,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.195,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6/26/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,177,177,6,26,2001,1300,96.9,0.88,16.19,,,,0.152,152,147,135,12,9.85,7.75,7.64,0.11,9.23,10.06,10.1,0.04,116.1,100,98.3,1.7,0.031,0.031,,0,0,pass,0.018,0.016,,0.002,11.76470588,pass,0.018,0.005,,0.013,113.0434783,fail,0.005,0.005,,0,0,pass,,,,,,,0.326,0.325,,0.001,0.307219662,pass,0.8,1.1,,0.3,31.57894737,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
38,6/26/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,177,177,6,26,2001,943,190,,15.24,,,,0.122,122,147,135,12,9.48,7.75,7.64,0.11,9.11,10.06,10.1,0.04,110.5,100,98.3,1.7,0.042,,,,,,0.031,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.216,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6/27/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,178,178,6,27,2001,1200,59.9,0.83,9.25,,,,0.054,54,147,149,2,10.66,7.5,7.79,0.29,7.6,10.04,10.13,0.09,106.3,100,95.9,4.1,0.055,,,,,,0.049,,,,,,0.005,,,,,,0.019,,,,,,,,,,,,0.167,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6/27/01,"N42-33'01.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,178,178,6,27,2001,1157,17.3,,12.87,,,,0.093,93,147,149,2,9.4,7.5,7.79,0.29,7.82,10.04,10.13,0.09,103.5,100,95.9,4.1,0.036,0.051,,0.015,34.48275862,fail,0.032,0.045,,0.013,33.76623377,fail,0.005,0.005,,0,0,pass,0.015,0.021,,0.006,33.33333333,pass,,,,,,,0.05,0.05,,0,0,pass,0.25,0.25,,0,0,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
